zip_code,city,dfw_zone,dal_zone
76022,BEDFORD,1,2
76028,BURLESON,5,0
76034,COLLEYVILLE,1,2
76036,CROWLEY,5,0
76039,EULESS,1,2
76040,EULESS,1,2
76051,GRAPEVINE,1,2
76052,HASLET,3,4
76053,HURST,2,2
76054,HURST,2,4
76060,KENNEDALE,4,4
76063,MANSFIELD,4,4
76065,MIDLOTHIAN,5,4
76071,NEWARK,5,0
76078,RHOME,5,0
76092,SOUTHLAKE,1,2
76095,BEDFORD,1,2
76098,AZLE,5,0
76099,GRAPEVINE,1,2
76102,FORT WORTH- downtown,3,4
76103,FORT WORTH- east,3,4
76104,FORT WORTH- south,4,4
76105,FORT WORTH- southeast,4,4
76106,FORT WORTH- north,3,4
76107,FORT WORTH- west,4,4
76108,WHITE SETTLEMENT,5,0
76109,FORT WORTH- southwest,4,4
76110,FORT WORTH- south,4,4
76111,FORT WORTH- north,3,4
76112,FORT WORTH- east,3,4
76113,FORT WORTH,4,4
76114,FORT WORTH- west,4,4
76115,FORT WORTH- south,4,4
76116,FORT WORTH- southwest,4,4
76117,HALTOM CITY,3,4
76118,FORT WORTH- northeast,3,4
76119,FORT WORTH- southeast,4,4
76120,FORT WORTH- east,3,4
76121,FORT WORTH,4,4
76122,FORT WORTH,4,4
76123,FORT WORTH- southwest,4,4
76124,FORT WORTH,4,4
76126,BENBROOK,5,0
76127,FORT WORTH- west,4,4
76129,FORT WORTH,4,4
76130,FORT WORTH,4,4
76131,BLUE MOUND,3,4
76132,FORT WORTH- southwest,4,4
76133,FORT WORTH- southwest,4,4
76134,FORT WORTH- south,4,4
76135,LAKE WORTH,5,0
76136,LAKE WORTH,5,0
76137,FORT WORTH- north,5,0
76140,EVERMAN,5,0
76147,FORT WORTH,4,4
76148,WATAUGA,2,4
76150,FORT WORTH,4,4
76155,FORT WORTH,1,2
76161,FORT WORTH,4,4
76162,FORT WORTH,4,4
76163,FORT WORTH,4,4
76164,FORT WORTH,4,4
76177,ALLIANCE AIRPORT,2,0
76179,SAGINAW,5,0
76180,NORTH RICHLAND HILLS,2,4
76181,FORT WORTH,2,4
76182,NORTH RICHLAND HILLS,2,4
76185,FORT WORTH,4,4
76191,FORT WORTH,4,4
76192,FORT WORTH,4,4
76193,FORT WORTH,4,4
76195,FORT WORTH,4,4
76196,FORT WORTH,4,4
76197,FORT WORTH,4,4
76198,FORT WORTH,4,4
76199,FORT WORTH,4,4
76201,DENTON,5,5
76202,DENTON,5,5
76203,DENTON,5,5
76204,DENTON,5,5
76205,DENTON,5,5
76206,DENTON,5,5
76207,DENTON,5,5
76208,DENTON,5,5
76209,DENTON,5,5
76210,DENTON,5,5
76226,ARGYLE,2,3
76244,KELLER,2,0
76247,JUSTIN,2,0
76248,KELLER,2,0
76262,ROANOKE,2,0
